Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US 1billion$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.49,0.6,0.7,0.76,0.87,0.96,1.08,1.25,1.32,1.38,1.53,1.67,1.72,1.87,1.92,1.94,2.02,2.23,2.33,2.42,2.62,2.75,2.5,2.39,2.55,2.53,2.73,2.79,2.96,2.98,3.09,3.2,0,0
Africa Eastern and Southern,AFE,GDP (current US 1billion$),19.29,19.7,21.47,25.7,23.5,26.78,29.12,30.14,32.84,37.7,40.27,44.43,48.25,62.91,78.17,83.34,83.12,94.88,106.23,124.36,156.34,160.2,154.5,159.58,145.86,130.3,146.86,179.54,188.8,194.33,212.1,220.52,219.98,220.37,224.51,252.47,251.89,264.86,249.72,246.42,267.61,241.47,247.01,325.89,404.8,470.51,532.14,611.56,666.29,669.23,803.69,896.26,913.2,927.66,956.32,893.1,854.75,962.27,984.03,977.81,898.47
Afghanistan,AFG,GDP (current US 1billion$),0.54,0.55,0.55,0.75,0.8,1.01,1.4,1.67,1.37,1.41,1.75,1.83,1.6,1.73,2.16,2.37,2.56,2.95,3.3,3.7,3.64,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,4.52,5.23,6.21,6.97,9.75,10.11,12.44,15.86,17.8,20,20.56,20.48,19.91,18.02,18.87,18.35,19.29,19.81
Africa Western and Central,AFW,GDP (current US 1billion$),10.41,11.13,11.95,12.68,13.84,14.87,15.84,14.43,14.88,16.89,23.51,20.84,25.27,31.28,44.23,51.46,62.15,65.33,71.22,88.65,112.06,211.07,187.22,138.16,114.3,116.54,107.53,110.35,108.98,101.8,121.84,117.49,118.32,97.19,85.69,107.4,119.04,119.98,122.62,130.2,134.15,141.86,170.53,197.38,245.86,302.11,384.34,451.87,553.03,492.55,580.22,658.43,716.94,807.82,846.94,757.49,687.48,680.99,738.13,792.08,786.58
Angola,AGO,GDP (current US 1billion$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,5.55,5.55,5.79,6.14,7.56,7.08,8.09,8.78,10.21,11.24,0,0,0,3.39,5.56,7.53,7.65,6.51,6.15,9.13,8.94,15.29,17.81,23.55,36.97,52.38,65.27,88.54,70.31,83.8,111.79,128.05,136.71,145.71,116.19,101.12,122.12,101.35,89.42,62.31
Albania,ALB,GDP (current US 1billion$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,1.9,2.1,2.08,2.05,2.25,2.03,1.1,0.65,1.19,1.88,2.39,3.2,2.26,2.55,3.21,3.48,3.92,4.35,5.61,7.18,8.05,8.9,10.68,12.88,12.04,11.93,12.89,12.32,12.78,13.23,11.39,11.86,13.02,15.15,15.29,14.8
Andorra,AND,GDP (current US 1billion$),0,0,0,0,0,0,0,0,0,0,0.08,0.09,0.11,0.15,0.19,0.22,0.23,0.25,0.31,0.41,0.45,0.39,0.38,0.33,0.33,0.35,0.48,0.61,0.72,0.8,1.03,1.11,1.21,1.01,1.02,1.18,1.22,1.18,1.21,1.24,1.43,1.55,1.76,2.36,2.89,3.16,3.46,3.95,4.09,3.67,3.45,3.63,3.19,3.19,3.27,2.79,2.9,3,3.22,3.16,0
Arab World,ARB,GDP (current US 1billion$),0,0,0,0,0,0,0,0,35.41,38.89,43.79,50.67,60.44,76.48,144.59,160.17,198.99,229.15,251.63,340.54,460.79,475.35,446.3,419.65,425.66,421.34,402.27,428.93,421.92,442.43,612.51,424.94,454.94,460.57,473.72,517.59,567.52,611.57,590.4,656.99,756.21,731.69,732.2,811.82,965.11,1186.14,1405.91,1639.46,2081.04,1795.73,2111.13,2494.92,2769.08,2849.69,2884.65,2513.21,2461.97,2511.06,2758,2811.18,2530.19
United Arab Emirates,ARE,GDP (current US 1billion$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,19.21,24.87,23.78,31.23,43.6,49.33,46.62,42.8,41.81,40.6,33.94,36.38,36.28,41.46,50.7,51.55,54.24,55.63,59.31,65.74,73.57,78.84,75.67,84.45,104.34,103.31,109.82,124.35,147.82,180.62,222.12,257.92,315.47,253.55,289.79,350.67,374.59,390.11,403.14,358.14,357.05,385.61,422.22,421.14,0
Argentina,ARG,GDP (current US 1billion$),0,0,24.45,18.27,25.61,28.34,28.63,24.26,26.44,31.26,31.58,33.29,34.73,52.54,72.44,52.44,51.17,56.78,58.08,69.25,76.96,78.68,84.31,103.98,79.09,88.42,110.93,111.11,126.21,76.64,141.35,189.72,228.79,236.74,257.44,258.03,272.15,292.86,298.95,283.52,284.2,268.7,97.72,127.59,164.66,198.74,232.56,287.53,361.56,332.98,423.63,530.16,545.98,552.03,526.32,594.75,557.53,643.63,517.63,445.45,383.07
