Country Name,GDP_2020
Aruba,
Afghanistan,19.81
Angola,62.31
Albania,14.8
Andorra,
United Arab Emirates,
Argentina,383.07
Armenia,12.65
American Samoa,
Antigua and Barbuda,1.42
Australia,1330.9
Austria,428.97
Azerbaijan,42.61
Burundi,3.26
Belgium,515.33
Benin,15.65
Burkina Faso,17.37
Bangladesh,324.24
Bulgaria,69.11
Bahrain,
"Bahamas, The",11.25
Bosnia and Herzegovina,19.79
Belarus,60.26
Belize,1.76
Bermuda,
Bolivia,36.69
Brazil,1444.73
Barbados,4.37
Brunei Darussalam,12.02
Bhutan,2.41
Botswana,15.78
Central African Republic,2.3
Canada,1643.41
Switzerland,747.97
Channel Islands,
Chile,252.94
China,14722.73
Cote d'Ivoire,61.35
Cameroon,39.8
"Congo, Dem. Rep.",49.87
"Congo, Rep.",10.88
Colombia,271.35
Comoros,1.22
Cabo Verde,1.7
Costa Rica,61.52
Caribbean small states,68.42
Cuba,
Curacao,
Cayman Islands,
Cyprus,23.8
Czech Republic,243.53
Germany,3806.06
Djibouti,3.38
Dominica,0.47
Denmark,355.18
Dominican Republic,78.84
Algeria,145.16
East Asia & Pacific,
Ecuador,98.81
"Egypt, Arab Rep.",363.07
Eritrea,
Spain,1281.2
Estonia,31.03
Ethiopia,107.65
Finland,271.23
Fiji,4.38
France,2603
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,15.59
United Kingdom,2707.74
Georgia,15.89
Ghana,72.35
Gibraltar,
Guinea,15.68
"Gambia, The",1.9
Guinea-Bissau,1.43
Equatorial Guinea,10.02
Greece,189.41
Grenada,1.09
Greenland,3.52
Guatemala,77.6
Guam,
Guyana,5.47
"Hong Kong SAR, China",346.59
Honduras,23.83
Croatia,55.97
Haiti,13.42
Hungary,155.01
Indonesia,1058.42
Isle of Man,
India,2622.98
Not classified,
Ireland,418.62
"Iran, Islamic Rep.",191.72
Iraq,167.22
Iceland,21.71
Israel,401.95
Italy,1886.45
Jamaica,13.81
Jordan,43.7
Japan,5048.69
Kazakhstan,169.84
Kenya,98.84
Kyrgyz Republic,7.74
Cambodia,25.29
Kiribati,0.2
St. Kitts and Nevis,0.93
South Korea,1630.53
Kuwait,
Lao PDR,19.14
Lebanon,33.38
Liberia,2.95
Libya,25.42
St. Lucia,1.7
Liechtenstein,
Sri Lanka,80.71
Lesotho,1.84
Lithuania,55.89
Luxembourg,73.26
Latvia,33.51
"Macao SAR, China",
St. Martin (French part),
Morocco,112.87
Monaco,
Moldova,11.91
Madagascar,13.72
Maldives,4.03
Mexico,1076.16
Marshall Islands,
North Macedonia,12.27
Mali,17.39
Malta,14.65
Myanmar,76.19
Montenegro,4.78
Mongolia,13.14
Northern Mariana Islands,
Mozambique,14.02
Mauritania,7.78
Mauritius,10.91
Malawi,11.96
Malaysia,336.66
Namibia,10.7
New Caledonia,
Niger,13.68
Nigeria,432.29
Nicaragua,12.62
Netherlands,912.24
Norway,362.01
Nepal,33.66
Nauru,
New Zealand,212.48
Oman,
Other small states,377.61
Pakistan,263.69
Panama,52.94
Peru,202.01
Philippines,361.49
Palau,
Papua New Guinea,23.59
Poland,594.16
Puerto Rico,103.14
North Korea,
Portugal,231.26
Paraguay,35.3
West Bank and Gaza,15.56
Pacific island small states,9.17
French Polynesia,
Qatar,146.37
Romania,248.72
Russia,1483.5
Rwanda,10.33
Saudi Arabia,700.12
Sudan,26.11
Senegal,24.91
Singapore,340
Solomon Islands,1.55
Sierra Leone,3.87
El Salvador,24.64
San Marino,
Somalia,4.92
Serbia,52.96
South Sudan,
Sao Tome and Principe,0.47
Suriname,3.81
Slovak Republic,104.57
Slovenia,52.88
Sweden,537.61
Eswatini,3.96
Sint Maarten (Dutch part),
Seychelles,1.12
Syrian Arab Republic,
Turks and Caicos Islands,0.92
Chad,10.09
Togo,7.57
Thailand,501.79
Tajikistan,8.19
Turkmenistan,
Timor-Leste,1.82
Tonga,
Trinidad and Tobago,21.53
Tunisia,39.24
Turkey,720.1
Tuvalu,0.05
Tanzania,62.41
Uganda,37.37
Ukraine,155.58
Uruguay,53.63
United States,20936.6
Uzbekistan,57.71
St. Vincent and the Grenadines,0.81
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,271.16
Vanuatu,0.85
Samoa,0.81
Kosovo,7.61
Yemen,
South Africa,301.92
Zambia,19.32
Zimbabwe,16.77
